_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
188,2023,M4B,CAT,DOMESTIC SH
189,2023,M1E,CAT,DOMESTIC SH
190,2023,M6M,CAT,DOMESTIC SH
191,2023,M4P,CAT,DOMESTIC SH
192,2023,M6G,CAT,DOMESTIC SH
193,2023,M1E,CAT,DOMESTIC SH
194,2023,M4C,CAT,DOMESTIC SH
195,2023,M9C,CAT,DOMESTIC SH
196,2023,M1S,CAT,DOMESTIC SH
197,2023,M6G,CAT,DOMESTIC SH
198,2023,M1L,CAT,DOMESTIC SH
199,2026,M8Z,CAT,DOMESTIC SH
200,2023,M4V,DOG,YORKSHIRE TERR
201,2024,M8Y,DOG,SHIH TZU
202,2023,M1C,DOG,BICHON FRISE
203,2023,M9A,CAT,DOMESTIC SH
204,2025,M1G,CAT,DOMESTIC SH
205,2023,M3J,CAT,DOMESTIC SH
206,2023,M5V,DOG,SHIH TZU
207,2023,M3A,DOG,POODLE MIN
208,2023,M6P,CAT,DOMESTIC SH
209,2023,M9C,CAT,DOMESTIC SH
210,2023,M5N,CAT,DOMESTIC SH
211,2023,M1K,CAT,DOMESTIC SH
212,2023,M1J,DOG,POMERANIAN
213,2025,M4C,CAT,DOMESTIC SH
214,2023,M1T,DOG,BICHON FRISE
215,2023,M6B,CAT,DOMESTIC SH
216,2026,M2N,CAT,DOMESTIC SH
217,2024,M4X,CAT,OCICAT
218,2024,M6S,CAT,DOMESTIC SH
219,2023,M1L,CAT,DOMESTIC SH
220,2023,M8W,DOG,POMERANIAN
221,2023,M3M,CAT,DOMESTIC SH
222,2023,M5M,CAT,DOMESTIC SH
223,2023,M2K,DOG,SHIH TZU
224,2023,M2H,CAT,DOMESTIC SH
225,2023,M9W,CAT,DOMESTIC SH
226,2023,M9C,DOG,PARSON RUSS TER
227,2024,M4N,CAT,DOMESTIC LH
228,2023,M4N,CAT,DOMESTIC LH
229,2023,M9B,CAT,DOMESTIC SH
230,2023,M2M,DOG,CAVALIER SPAN
231,2024,M2M,DOG,CAVALIER SPAN
232,2025,M5A,CAT,DOMESTIC SH
233,2023,M1T,CAT,DOMESTIC SH
